* [https://www.spinics.net/lists/linux-soc/msg07293.html][PATCH] soc: qcom: msm_bus: initialize cldata->handle field, Lu Shuaibing
@ [https://www.spinics.net/lists/linux-soc/msg07089.html]RE: [PATCH v2 06/15] clocksource/drivers/timer-milbeaut: Introduce timer for Milbeaut SoCs, sugaya.taichi
* [https://www.spinics.net/lists/linux-soc/msg07077.html][PATCH v2 1/3] clk: qcom: remove empty lines in clk-rcg.h, Vinod Koul
+ [https://www.spinics.net/lists/linux-soc/msg07078.html][PATCH v2 2/3] clk: qcom: clk-rcg2: Introduce a cfg offset for RCGs, Vinod Koul
o [https://www.spinics.net/lists/linux-soc/msg07108.html]Re: [PATCH v2 2/3] clk: qcom: clk-rcg2: Introduce a cfg offset for RCGs, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07079.html][PATCH v2 3/3] clk: qcom: gcc-qcs404: Add cfg_offset for blsp1_uart3 clock, Vinod Koul
o [https://www.spinics.net/lists/linux-soc/msg07109.html]Re: [PATCH v2 3/3] clk: qcom: gcc-qcs404: Add cfg_offset for blsp1_uart3 clock, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07107.html]Re: [PATCH v2 1/3] clk: qcom: remove empty lines in clk-rcg.h, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07076.html][PATCH v2] qcom: apr: Make apr callbacks in non-atomic context, Srinivas Kandagatla
+ [https://www.spinics.net/lists/linux-soc/msg07136.html]Re: [PATCH v2] qcom: apr: Make apr callbacks in non-atomic context, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg07070.html][PATCH v4 0/3] ARM: qcom: add vibrator support for various MSM SOCs, Brian Masney
+ [https://www.spinics.net/lists/linux-soc/msg07069.html][PATCH v4 1/3] dt-bindings: Input: new bindings for MSM vibrator, Brian Masney
+ [https://www.spinics.net/lists/linux-soc/msg07071.html][PATCH v4 3/3] ARM: dts: qcom: msm8974-hammerhead: add device tree bindings for vibrator, Brian Masney
o [https://www.spinics.net/lists/linux-soc/msg07074.html]Re: [PATCH v4 3/3] ARM: dts: qcom: msm8974-hammerhead: add device tree bindings for vibrator, Dmitry Torokhov
# [https://www.spinics.net/lists/linux-soc/msg07075.html]Re: [PATCH v4 3/3] ARM: dts: qcom: msm8974-hammerhead: add device tree bindings for vibrator, Brian Masney
+ [https://www.spinics.net/lists/linux-soc/msg07072.html][PATCH v4 2/3] Input: add new vibrator driver for various MSM SOCs, Brian Masney
o [https://www.spinics.net/lists/linux-soc/msg07073.html]Re: [PATCH v4 2/3] Input: add new vibrator driver for various MSM SOCs, Dmitry Torokhov
* [https://www.spinics.net/lists/linux-soc/msg07048.html][PATCH v4 0/8] Add non PAS wcss Q6 support for QCS404, Govind Singh
+ [https://www.spinics.net/lists/linux-soc/msg07049.html][PATCH v4 1/8] dt-bindings: clock: qcom: Add QCOM WCSS GCC clock bindings, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg07094.html]Re: [PATCH v4 1/8] dt-bindings: clock: qcom: Add QCOM WCSS GCC clock bindings, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07050.html][PATCH v4 2/8] clk: qcom: Add WCSS gcc clock control for QCS404, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg07066.html]Re: [PATCH v4 2/8] clk: qcom: Add WCSS gcc clock control for QCS404, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07051.html][PATCH v4 3/8] dt-bindings: clock: qcom: Introduce QCOM WCSS Q6DSP clock bindings, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg07095.html]Re: [PATCH v4 3/8] dt-bindings: clock: qcom: Introduce QCOM WCSS Q6DSP clock bindings, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07052.html][PATCH v4 4/8] clk: qcom: Add WCSS Q6DSP clock controller for QCS404, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg07067.html]Re: [PATCH v4 4/8] clk: qcom: Add WCSS Q6DSP clock controller for QCS404, Stephen Boyd
o [https://www.spinics.net/lists/linux-soc/msg07096.html]Re: [PATCH v4 4/8] clk: qcom: Add WCSS Q6DSP clock controller for QCS404, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07053.html][PATCH v4 5/8] remoteproc: qcom: wcss: populate hardcoded param using driver data, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg07097.html]Re: [PATCH v4 5/8] remoteproc: qcom: wcss: populate hardcoded param using driver data, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07054.html][PATCH v4 6/8] dt-binding: remoteproc: Add QTI WCSS PIL bindings, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg07098.html]Re: [PATCH v4 6/8] dt-binding: remoteproc: Add QTI WCSS PIL bindings, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07055.html][PATCH v4 7/8] remoteproc: qcom: wcss: Add non pas wcss Q6 support for QCS404, Govind Singh
+ [https://www.spinics.net/lists/linux-soc/msg07056.html][PATCH v4 8/8] remoteproc: qcom: wcss: explicitly request exclusive reset control, Govind Singh
* [https://www.spinics.net/lists/linux-soc/msg07034.html]Re: [PATCH] clk: qcom: Add MSM8976/56 Global Clock Controller (GCC) driver, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg07040.html]Re: [PATCH] clk: qcom: Add MSM8976/56 Global Clock Controller (GCC) driver, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07027.html][PATCH] arm64: dts: sdm845: Add CPU capacity values, Matthias Kaehlcke
+ [https://www.spinics.net/lists/linux-soc/msg07028.html]Re: [PATCH] arm64: dts: sdm845: Add CPU capacity values, Rajendra Nayak
* [https://www.spinics.net/lists/linux-soc/msg07017.html][PATCH v6] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg07030.html]Re: [PATCH v6] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Doug Anderson
o [https://www.spinics.net/lists/linux-soc/msg07032.html]Re: [PATCH v6] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
* [https://www.spinics.net/lists/linux-soc/msg07016.html][PATCH] arm64: dts: sdm845: Add CPU topology, Matthias Kaehlcke
+ [https://www.spinics.net/lists/linux-soc/msg07031.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Doug Anderson
+ [https://www.spinics.net/lists/linux-soc/msg07126.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Amit Kucheria
o [https://www.spinics.net/lists/linux-soc/msg07127.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Amit Kucheria
# [https://www.spinics.net/lists/linux-soc/msg07128.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Stephen Boyd
@ [https://www.spinics.net/lists/linux-soc/msg07132.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Amit Kucheria
- [https://www.spinics.net/lists/linux-soc/msg07134.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Stephen Boyd
= [https://www.spinics.net/lists/linux-soc/msg07184.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Quentin Perret
* [https://www.spinics.net/lists/linux-soc/msg07195.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Vincent Guittot
+ [https://www.spinics.net/lists/linux-soc/msg07196.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Quentin Perret
o [https://www.spinics.net/lists/linux-soc/msg07197.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Vincent Guittot
# [https://www.spinics.net/lists/linux-soc/msg07198.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Quentin Perret
# [https://www.spinics.net/lists/linux-soc/msg07199.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Dietmar Eggemann
@ [https://www.spinics.net/lists/linux-soc/msg07200.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Vincent Guittot
- [https://www.spinics.net/lists/linux-soc/msg07201.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Morten Rasmussen
- [https://www.spinics.net/lists/linux-soc/msg07135.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg07133.html]Re: [PATCH] arm64: dts: sdm845: Add CPU topology, Sudeep Holla
* [https://www.spinics.net/lists/linux-soc/msg06996.html][PATCH v5 8/8] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg07008.html]Re: [PATCH v5 8/8] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Doug Anderson
o [https://www.spinics.net/lists/linux-soc/msg07012.html]Re: [PATCH v5 8/8] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg06989.html][PATCH v3 1/3] dt-bindings: remoteproc: qcom: Introduce shutdown-ack irq for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06990.html][PATCH v3 2/3] remoteproc: qcom: Add shutdown-ack irq, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06991.html][PATCH v3 3/3] remoteproc: qcom: Wait for shutdown-ack/ind on sysmon shutdown, Sibi Sankar
* [https://www.spinics.net/lists/linux-soc/msg06976.html][PATCH v2 0/7] Qualcomm AOSS QMP side channel binding and driver, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06977.html][(RFC) PATCH v2 7/7] soc: qcom: aoss-qmp: Add cooling device support, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg07010.html]Re: [(RFC) PATCH v2 7/7] soc: qcom: aoss-qmp: Add cooling device support, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06978.html][PATCH v2 4/7] remoteproc: q6v5-mss: Vote for rpmh power domains, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06994.html]Re: [PATCH v2 4/7] remoteproc: q6v5-mss: Vote for rpmh power domains, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06979.html][PATCH v2 6/7] amba: Allow pclk to be controlled by power domain, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06980.html][PATCH v2 5/7] remoteproc: q6v5-mss: Active powerdomain for SDM845, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06995.html]Re: [PATCH v2 5/7] remoteproc: q6v5-mss: Active powerdomain for SDM845, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06981.html][PATCH v2 2/7] soc: qcom: Add AOSS QMP communication driver, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06999.html]Re: [PATCH v2 2/7] soc: qcom: Add AOSS QMP communication driver, Arun Kumar Neelakantam
o [https://www.spinics.net/lists/linux-soc/msg07021.html]Re: [PATCH v2 2/7] soc: qcom: Add AOSS QMP communication driver, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07023.html]Re: [PATCH v2 2/7] soc: qcom: Add AOSS QMP communication driver, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06982.html][PATCH v2 3/7] soc: qcom: Add AOSS QMP genpd provider, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06998.html]Re: [PATCH v2 3/7] soc: qcom: Add AOSS QMP genpd provider, Sai Prakash Ranjan
o [https://www.spinics.net/lists/linux-soc/msg07022.html]Re: [PATCH v2 3/7] soc: qcom: Add AOSS QMP genpd provider, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07024.html]Re: [PATCH v2 3/7] soc: qcom: Add AOSS QMP genpd provider, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06983.html][PATCH v2 1/7] dt-bindings: soc: qcom: Add AOSS QMP binding, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg07009.html]Re: [PATCH v2 1/7] dt-bindings: soc: qcom: Add AOSS QMP binding, Rob Herring
o [https://www.spinics.net/lists/linux-soc/msg07020.html]Re: [PATCH v2 1/7] dt-bindings: soc: qcom: Add AOSS QMP binding, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06973.html][PATCH] arm64: dts: qcom: qcs404: sdcc1: enable HS400, Jorge Ramirez-Ortiz
* [https://www.spinics.net/lists/linux-soc/msg06969.html][PATCH v1] arm64: dts: qcom: msm8996: Disable USB2 PHY suspend by core, Manu Gautam
+ [https://www.spinics.net/lists/linux-soc/msg06987.html]Re: [PATCH v1] arm64: dts: qcom: msm8996: Disable USB2 PHY suspend by core, Vivek Gautam
* [https://www.spinics.net/lists/linux-soc/msg06957.html][PATCH v4 1/8] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06958.html][PATCH v4 2/8] dt-bindings: remoteproc: qcom: Add missing clocks for SDM845, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06966.html]Re: [PATCH v4 2/8] dt-bindings: remoteproc: qcom: Add missing clocks for SDM845, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06959.html][PATCH v4 4/8] remoteproc: qcom: q6v5-mss: Add missing clocks for MSM8996, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06960.html][PATCH v4 5/8] dt-bindings: remoteproc: qcom: Fixup regulator dependencies, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06961.html][PATCH v4 3/8] dt-bindings: remoteproc: qcom: Add missing clocks for MSM8996, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06967.html]Re: [PATCH v4 3/8] dt-bindings: remoteproc: qcom: Add missing clocks for MSM8996, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06962.html][PATCH v4 6/8] remoteproc: qcom: q6v5-mss: Add missing regulator for MSM8996, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06963.html][PATCH v4 7/8] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06964.html][PATCH v4 8/8] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06968.html]Re: [PATCH v4 8/8] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, kbuild test robot
+ [https://www.spinics.net/lists/linux-soc/msg06972.html]Re: [PATCH v4 1/8] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06992.html]Re: [PATCH v4 1/8] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Sibi Sankar
* [https://www.spinics.net/lists/linux-soc/msg06941.html][PATCH v3 1/8] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06942.html][PATCH v3 2/8] dt-bindings: remoteproc: qcom: Add missing clocks for SDM845, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06953.html]Re: [PATCH v3 2/8] dt-bindings: remoteproc: qcom: Add missing clocks for SDM845, Rob Herring
# [https://www.spinics.net/lists/linux-soc/msg06956.html]Re: [PATCH v3 2/8] dt-bindings: remoteproc: qcom: Add missing clocks for SDM845, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06943.html][PATCH v3 3/8] dt-bindings: remoteproc: qcom: Add missing clocks for MSM8996, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06944.html][PATCH v3 4/8] remoteproc: qcom: q6v5-mss: Add missing clocks for MSM8996, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06945.html][PATCH v3 5/8] dt-bindings: remoteproc: qcom: Fixup regulator dependencies, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06954.html]Re: [PATCH v3 5/8] dt-bindings: remoteproc: qcom: Fixup regulator dependencies, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06946.html][PATCH v3 6/8] remoteproc: qcom: q6v5-mss: Add missing regulator for MSM8996, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06947.html][PATCH v3 7/8] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06951.html]Re: [PATCH v3 7/8] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06948.html][PATCH v3 8/8] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06952.html]Re: [PATCH v3 1/8] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Rob Herring
* [https://www.spinics.net/lists/linux-soc/msg06936.html][PATCH v2 1/4] dt-bindings: remoteproc: qcom: Introduce shutdown-ack irq for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06937.html][PATCH v2 2/4] remoteproc: qcom: q6v5: Add shutdown-ack irq, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06938.html][PATCH v2 3/4] remoteproc: qcom: Wait for shutdown-ack/ind on sysmon shutdown, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06975.html]Re: [PATCH v2 3/4] remoteproc: qcom: Wait for shutdown-ack/ind on sysmon shutdown, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg06988.html]Re: [PATCH v2 3/4] remoteproc: qcom: Wait for shutdown-ack/ind on sysmon shutdown, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06939.html][PATCH v2 4/4] remoteproc: qcom: Enable shutdown-ack irq on Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06955.html]Re: [PATCH v2 1/4] dt-bindings: remoteproc: qcom: Introduce shutdown-ack irq for Q6V5, Rob Herring
* [https://www.spinics.net/lists/linux-soc/msg06932.html][PATCH v2] arm64: dts: sdm845: Add cpufreq device node, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06934.html]Re: [PATCH v2] arm64: dts: sdm845: Add cpufreq device node, Matthias Kaehlcke
+ [https://www.spinics.net/lists/linux-soc/msg07015.html]Re: [PATCH v2] arm64: dts: sdm845: Add cpufreq device node, Amit Kucheria
* [https://www.spinics.net/lists/linux-soc/msg06926.html][PATCH RFC 0/5] Add support for PDC timer for wake-ups, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg06927.html][PATCH RFC 1/5] drivers: qcom: rpmh-rsc: Add regmap for RSC controller, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg06928.html][PATCH RFC 2/5] drivers: qcom: rpmh-pdc-timer: add PDC timer support for RPMH based SoCs, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg06929.html][PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Raju P.L.S.S.S.N
o [https://www.spinics.net/lists/linux-soc/msg06935.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06940.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Raju P L S S S N
@ [https://www.spinics.net/lists/linux-soc/msg06965.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Stephen Boyd
- [https://www.spinics.net/lists/linux-soc/msg06970.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Raju P L S S S N
= [https://www.spinics.net/lists/linux-soc/msg06974.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06985.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Raju P L S S S N
+ [https://www.spinics.net/lists/linux-soc/msg06993.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Raju P L S S S N
o [https://www.spinics.net/lists/linux-soc/msg06997.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07001.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Raju P L S S S N
@ [https://www.spinics.net/lists/linux-soc/msg07003.html]Re: [PATCH RFC 3/5] dt-bindings: Add PDC timer bindings for Qualcomm SoCs, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06930.html][PATCH RFC 4/5] drivers: qcom: rpmh-pdc-timer: Add power management ops, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg06931.html][PATCH RFC 5/5] arm64: dts: msm: add PDC timer for apps_rsc for SDM845, Raju P.L.S.S.S.N
* [https://www.spinics.net/lists/linux-soc/msg06917.html][PATCH] arm64: dts: sdm845: Add cpufreq device node, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06919.html]Re: [PATCH] arm64: dts: sdm845: Add cpufreq device node, Matthias Kaehlcke
o [https://www.spinics.net/lists/linux-soc/msg06933.html]Re: [PATCH] arm64: dts: sdm845: Add cpufreq device node, Taniya Das
* [https://www.spinics.net/lists/linux-soc/msg06916.html][PATCH v3 0/3] arm64: dts: sdm845: Add sdm845 GPU interconnect, Jordan Crouse
+ [https://www.spinics.net/lists/linux-soc/msg06915.html][PATCH v3 3/3] arm64: dts: sdm845: Add interconnect for GPU, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06918.html]Re: [PATCH v3 3/3] arm64: dts: sdm845: Add interconnect for GPU, Doug Anderson
* [https://www.spinics.net/lists/linux-soc/msg06909.html][PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06920.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Stephen Boyd
o [https://www.spinics.net/lists/linux-soc/msg06984.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Taniya Das
# [https://www.spinics.net/lists/linux-soc/msg06986.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Stephen Boyd
@ [https://www.spinics.net/lists/linux-soc/msg07014.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Taniya Das
- [https://www.spinics.net/lists/linux-soc/msg07019.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Stephen Boyd
= [https://www.spinics.net/lists/linux-soc/msg07029.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Taniya Das
* [https://www.spinics.net/lists/linux-soc/msg07033.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07035.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg07082.html]Re: [PATCH v1] clk: qcom: lpass: Add CLK_IGNORE_UNUSED for lpass clocks, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg06903.html][PATCH v1] clk: qcom: gcc: Use active only source for CPUSS clocks, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg07039.html]Re: [PATCH v1] clk: qcom: gcc: Use active only source for CPUSS clocks, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06873.html][PATCH v2 1/7] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06874.html][PATCH v2 2/7] dt-bindings: remoteproc: qcom: Add clock bindings for Q6V5, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06893.html]Re: [PATCH v2 2/7] dt-bindings: remoteproc: qcom: Add clock bindings for Q6V5, Doug Anderson
# [https://www.spinics.net/lists/linux-soc/msg06895.html]Re: [PATCH v2 2/7] dt-bindings: remoteproc: qcom: Add clock bindings for Q6V5, Sibi Sankar
@ [https://www.spinics.net/lists/linux-soc/msg06901.html]Re: [PATCH v2 2/7] dt-bindings: remoteproc: qcom: Add clock bindings for Q6V5, Doug Anderson
o [https://www.spinics.net/lists/linux-soc/msg06902.html]Re: [PATCH v2 2/7] dt-bindings: remoteproc: qcom: Add clock bindings for Q6V5, Rob Herring
# [https://www.spinics.net/lists/linux-soc/msg06904.html]Re: [PATCH v2 2/7] dt-bindings: remoteproc: qcom: Add clock bindings for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06875.html][PATCH v2 3/7] dt-bindings: remoteproc: qcom: Fixup regulator dependencies, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06888.html]Re: [PATCH v2 3/7] dt-bindings: remoteproc: qcom: Fixup regulator dependencies, Doug Anderson
# [https://www.spinics.net/lists/linux-soc/msg06899.html]Re: [PATCH v2 3/7] dt-bindings: remoteproc: qcom: Fixup regulator dependencies, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06876.html][PATCH v2 4/7] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06892.html]Re: [PATCH v2 4/7] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Doug Anderson
# [https://www.spinics.net/lists/linux-soc/msg06896.html]Re: [PATCH v2 4/7] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06877.html][PATCH v2 5/7] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06889.html]Re: [PATCH v2 5/7] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Doug Anderson
# [https://www.spinics.net/lists/linux-soc/msg06897.html]Re: [PATCH v2 5/7] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06900.html]Re: [PATCH v2 5/7] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, kbuild test robot
+ [https://www.spinics.net/lists/linux-soc/msg06878.html][PATCH v2 6/7] arm64: dts: qcom: sdm845: Add power-domain for Q6V5 MSS node, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06890.html]Re: [PATCH v2 6/7] arm64: dts: qcom: sdm845: Add power-domain for Q6V5 MSS node, Doug Anderson
# [https://www.spinics.net/lists/linux-soc/msg06898.html]Re: [PATCH v2 6/7] arm64: dts: qcom: sdm845: Add power-domain for Q6V5 MSS node, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06879.html][PATCH v2 7/7] arm64: dts: qcom: sdm845: Add shutdown-ack for Q6V5 MSS node, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06891.html]Re: [PATCH v2 7/7] arm64: dts: qcom: sdm845: Add shutdown-ack for Q6V5 MSS node, Doug Anderson
+ [https://www.spinics.net/lists/linux-soc/msg06887.html]Re: [PATCH v2 1/7] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Doug Anderson
o [https://www.spinics.net/lists/linux-soc/msg06894.html]Re: [PATCH v2 1/7] dt-bindings: soc: qcom: Add remote-pid binding for GLINK SMEM, Sibi Sankar
