* [https://www.spinics.net/lists/arm-kernel/msg741994.html][PATCH] rqchip/stm32: Remove unneeded call to kfree, Hariprasad Kelam
- [https://www.spinics.net/lists/arm-kernel/msg741818.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Florian Fainelli
- [https://www.spinics.net/lists/arm-kernel/msg741824.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Stefan Wahren
- [https://www.spinics.net/lists/arm-kernel/msg741838.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Stefan Wahren
= [https://www.spinics.net/lists/arm-kernel/msg741840.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Andrei Gherzan
+ [https://www.spinics.net/lists/arm-kernel/msg741645.html][PATCH RFC 04/18] ARM: dts: bcm283x: Define MMC interfaces at board level, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741646.html][PATCH RFC 01/18] ARM: bcm283x: Reduce register ranges for UART, SPI and I2C, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741647.html][PATCH RFC 06/18] dt-bindings: bcm2835-cprman: Add bcm2838 support, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741648.html][PATCH RFC 11/18] pinctrl: bcm2835: Fix BCM7211 pinconf handling, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741649.html][PATCH RFC 08/18] dt-bindings: sdhci-iproc: Add brcm,bcm2838-emmc2, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741650.html][PATCH RFC 02/18] ARM: bcm2835: DMA can only address 1GB, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741652.html][PATCH RFC 10/18] pinctrl: bcm2835: bcm7211: Add support for 7211 pull-up functionality, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741653.html][PATCH RFC 07/18] clk: bcm2835: Add BCM2838_CLOCK_EMMC2 support, Stefan Wahren
o [https://www.spinics.net/lists/arm-kernel/msg741733.html]Re: [PATCH RFC 07/18] clk: bcm2835: Add BCM2838_CLOCK_EMMC2 support, Matthias Brugger
# [https://www.spinics.net/lists/arm-kernel/msg741817.html]Re: [PATCH RFC 07/18] clk: bcm2835: Add BCM2838_CLOCK_EMMC2 support, Florian Fainelli
@ [https://www.spinics.net/lists/arm-kernel/msg741844.html]Re: [PATCH RFC 07/18] clk: bcm2835: Add BCM2838_CLOCK_EMMC2 support, Eric Anholt
- [https://www.spinics.net/lists/arm-kernel/msg741977.html]Re: [PATCH RFC 07/18] clk: bcm2835: Add BCM2838_CLOCK_EMMC2 support, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741848.html]Re: [PATCH RFC 00/18] ARM: Add minimal Raspberry Pi 4 support, Eric Anholt
o [https://www.spinics.net/lists/arm-kernel/msg741850.html]Re: [PATCH RFC 00/18] ARM: Add minimal Raspberry Pi 4 support, Florian Fainelli
o [https://www.spinics.net/lists/arm-kernel/msg741959.html]Re: [PATCH RFC 00/18] ARM: Add minimal Raspberry Pi 4 support, Nicolas Saenz Julienne
* [https://www.spinics.net/lists/arm-kernel/msg741621.html][PATCH] arm64: entry: SP Alignment Fault doesn't write to FAR_EL1, James Morse
* [https://www.spinics.net/lists/arm-kernel/msg741616.html]Re: [PATCH v4 13/15] docs: ABI: testing: make the files compatible with ReST output, Jonathan Cameron
* [https://www.spinics.net/lists/arm-kernel/msg741605.html][PATCH 1/3] ARM: dts: vf610-zii-spb4: Drop unused pinctrl_i2c1 pinmux config, Andrey Smirnov
+ [https://www.spinics.net/lists/arm-kernel/msg741606.html][PATCH 3/3] ARM: dts: vf610-zii-scu4-aib: Drop unused pinctrl_i2c3 pinmux config, Andrey Smirnov
+ [https://www.spinics.net/lists/arm-kernel/msg741607.html][PATCH 2/3] ARM: dts: vf610-zii-scu4-aib: Fix pinctrl_i2c1's identation, Andrey Smirnov
* [https://www.spinics.net/lists/arm-kernel/msg741600.html][PATCH] staging: media: sunxi: Add bool cast to value, Nishka Dasgupta
+ [https://www.spinics.net/lists/arm-kernel/msg741718.html]Re: [PATCH] staging: media: sunxi: Add bool cast to value, Paul Kocialkowski
* [https://www.spinics.net/lists/arm-kernel/msg741587.html][PATCH/RFC repost] arm64: dts: renesas: ebisu, draak: Limit EtherAVB to 100Mbps, Simon Horman
+ [https://www.spinics.net/lists/arm-kernel/msg741590.html]Re: [PATCH/RFC repost] arm64: dts: renesas: ebisu, draak: Limit EtherAVB to 100Mbps, Kieran Bingham
+ [https://www.spinics.net/lists/arm-kernel/msg741591.html]Re: [PATCH/RFC repost] arm64: dts: renesas: ebisu, draak: Limit EtherAVB to 100Mbps, Wolfram Sang
* [https://www.spinics.net/lists/arm-kernel/msg741584.html][PATCH] modify mtk uart power and clock management, Changqi Hu
* [https://www.spinics.net/lists/arm-kernel/msg741581.html][PATCH] KVM: arm/arm64: Assign pmc->idx before kvm_pmu_stop_counter(), Zenghui Yu
+ [https://www.spinics.net/lists/arm-kernel/msg741596.html]Re: [PATCH] KVM: arm/arm64: Assign pmc->idx before kvm_pmu_stop_counter(), Julien Thierry
o [https://www.spinics.net/lists/arm-kernel/msg741604.html]Re: [PATCH] KVM: arm/arm64: Assign pmc->idx before kvm_pmu_stop_counter(), Marc Zyngier
# [https://www.spinics.net/lists/arm-kernel/msg741680.html]Re: [PATCH] KVM: arm/arm64: Assign pmc->idx before kvm_pmu_stop_counter(), Zenghui Yu
* [https://www.spinics.net/lists/arm-kernel/msg741535.html][PATCH] arm64: dts: imx8mq: fix SAI compatible, Lucas Stach
* [https://www.spinics.net/lists/arm-kernel/msg741525.html][PATCH] mmc: mxs: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741540.html]RE: [PATCH] mmc: mxs: use devm_platform_ioremap_resource() to simplify code, Aisheng Dong
* [https://www.spinics.net/lists/arm-kernel/msg741522.html][PATCH v2 0/5]Add support for mt2701 JPEG ENC support, Xia Jiang
+ [https://www.spinics.net/lists/arm-kernel/msg741526.html][PATCH 1/5] media: dt-bindings: Add JPEG ENC device tree node document, Xia Jiang
+ [https://www.spinics.net/lists/arm-kernel/msg741527.html][PATCH 4/5] media: platform: change GPLv2 license to SPDX, Xia Jiang
+ [https://www.spinics.net/lists/arm-kernel/msg741528.html][PATCH 2/5] media: platform: Rename jpeg dec file name, Xia Jiang
+ [https://www.spinics.net/lists/arm-kernel/msg741529.html][PATCH 3/5] media: platform: Add jpeg enc feature, Xia Jiang
+ [https://www.spinics.net/lists/arm-kernel/msg741530.html][PATCH 5/5] arm: dts: add jpeg enc device tree node, Xia Jiang
* [https://www.spinics.net/lists/arm-kernel/msg741520.html][PATCH] stm class: Fix a double free of stm_source_device, Ding Xiang
* [https://www.spinics.net/lists/arm-kernel/msg741517.html][PATCH 1/2] char: hw_random: imx-rngc: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741518.html][PATCH 2/2] char: hw_random: mxc-rnga: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
o [https://www.spinics.net/lists/arm-kernel/msg741542.html]RE: [PATCH 2/2] char: hw_random: mxc-rnga: use devm_platform_ioremap_resource() to simplify code, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741541.html]RE: [PATCH 1/2] char: hw_random: imx-rngc: use devm_platform_ioremap_resource() to simplify code, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741553.html]Re: [PATCH 1/2] char: hw_random: imx-rngc: use devm_platform_ioremap_resource() to simplify code, Arnd Bergmann
* [https://www.spinics.net/lists/arm-kernel/msg741513.html][PATCH 1/2] i2c: mxs: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741514.html][PATCH 2/2] i2c: imx-lpi2c: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
o [https://www.spinics.net/lists/arm-kernel/msg741539.html]RE: [PATCH 2/2] i2c: imx-lpi2c: use devm_platform_ioremap_resource() to simplify code, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741550.html]RE: [PATCH 1/2] i2c: mxs: use devm_platform_ioremap_resource() to simplify code, Aisheng Dong
* [https://www.spinics.net/lists/arm-kernel/msg741512.html][PATCH] arm64: Avoid pointless schedule_preempt_irq() invocations, Thomas Gleixner
+ [https://www.spinics.net/lists/arm-kernel/msg741534.html]Re: [PATCH] arm64: Avoid pointless schedule_preempt_irq() invocations, Valentin Schneider
o [https://www.spinics.net/lists/arm-kernel/msg741538.html]Re: [PATCH] arm64: Avoid pointless schedule_preempt_irq() invocations, Thomas Gleixner
* [https://www.spinics.net/lists/arm-kernel/msg741502.html][PATCH v5 0/5] Add HDMI jack support on RK3288, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741503.html][PATCH v5 1/5] ASoC: hdmi-codec: Add an op to set callback function for plug event, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741504.html][PATCH v5 2/5] drm: bridge: dw-hdmi: Report connector status using callback, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741505.html][PATCH v5 3/5] drm: dw-hdmi-i2s: Use fixed id for codec device, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741506.html][PATCH v5 4/5] ASoC: rockchip_max98090: Add dai_link for HDMI, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741507.html][PATCH v5 5/5] ASoC: rockchip_max98090: Add HDMI jack support, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741551.html]Re: [PATCH v5 0/5] Add HDMI jack support on RK3288, Tzung-Bi Shih
* [https://www.spinics.net/lists/arm-kernel/msg741498.html][PATCH] rtc: imxdi: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
* [https://www.spinics.net/lists/arm-kernel/msg741486.html][PATCH v4 0/9] arm_pmu: Use NMI for perf interrupt, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741487.html][PATCH v4 1/9] arm64: perf: avoid PMXEV* indirection, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741488.html][PATCH v4 2/9] arm64: perf: Remove PMU locking, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741489.html][PATCH v4 3/9] arm: perf: save/resore pmsel, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741490.html][PATCH v4 4/9] arm: perf: Remove Remove PMU locking, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741491.html][PATCH v4 5/9] perf/arm_pmu: Move PMU lock to ARMv6 events, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741492.html][PATCH v4 6/9] arm64: perf: Do not call irq_work_run in NMI context, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741493.html][PATCH v4 7/9] arm/arm64: kvm: pmu: Make overflow handler NMI safe, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741494.html][PATCH v4 8/9] arm_pmu: Introduce pmu_irq_ops, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741495.html][PATCH v4 9/9] arm_pmu: Use NMIs for PMU, Julien Thierry
+ [https://www.spinics.net/lists/arm-kernel/msg741532.html]Re: [PATCH v4 0/9] arm_pmu: Use NMI for perf interrupt, Julien Thierry
* [https://www.spinics.net/lists/arm-kernel/msg741470.html][PATCH] ARM: dts: ux500: Fix up the thermal nodes, Linus Walleij
* [https://www.spinics.net/lists/arm-kernel/msg741467.html][PATCH] ARM: ux500: Stop populating the PRCMU devices early, Linus Walleij
* [https://www.spinics.net/lists/arm-kernel/msg741464.html][PATCH RFC v2 0/2] Use cpu based scaling passive governor for MT8183 CCI, Hsin-Yi Wang
+ [https://www.spinics.net/lists/arm-kernel/msg741465.html][PATCH RFC v2 2/2] cpufreq: mediatek: Support vproc shared by multiple component, Hsin-Yi Wang
+ [https://www.spinics.net/lists/arm-kernel/msg741471.html][PATCH RFC v2 1/2] devfreq: mt8183-cci: using cpu based scaling passive_governor, Hsin-Yi Wang
+ [https://www.spinics.net/lists/arm-kernel/msg741717.html]Re: [PATCH RFC v2 0/2] Use cpu based scaling passive governor for MT8183 CCI, Hsin-Yi Wang
* [https://www.spinics.net/lists/arm-kernel/msg741460.html][PATCH 0/3] Add support for i.MXQXP AI_ML board, Manivannan Sadhasivam
+ [https://www.spinics.net/lists/arm-kernel/msg741461.html][PATCH 1/3] dt-bindings: Add Vendor prefix for Einfochips, Manivannan Sadhasivam
o [https://www.spinics.net/lists/arm-kernel/msg741544.html]RE: [PATCH 1/3] dt-bindings: Add Vendor prefix for Einfochips, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741462.html][PATCH 2/3] dt-bindings: arm: Document i.MX8QXP AI_ML board binding, Manivannan Sadhasivam
o [https://www.spinics.net/lists/arm-kernel/msg741549.html]RE: [PATCH 2/3] dt-bindings: arm: Document i.MX8QXP AI_ML board binding, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741463.html][PATCH 3/3] arm64: dts: freescale: Add support for i.MX8QXP AI_ML board, Manivannan Sadhasivam
o [https://www.spinics.net/lists/arm-kernel/msg741563.html]RE: [PATCH 3/3] arm64: dts: freescale: Add support for i.MX8QXP AI_ML board, Aisheng Dong
# [https://www.spinics.net/lists/arm-kernel/msg741571.html]Re: [PATCH 3/3] arm64: dts: freescale: Add support for i.MX8QXP AI_ML board, Manivannan Sadhasivam
@ [https://www.spinics.net/lists/arm-kernel/msg741684.html]RE: [PATCH 3/3] arm64: dts: freescale: Add support for i.MX8QXP AI_ML board, Aisheng Dong
* [https://www.spinics.net/lists/arm-kernel/msg741437.html][PATCH] dt-bindings: pinctrl: stm32: Fix missing 'clocks' property in examples, Rob Herring
+ [https://www.spinics.net/lists/arm-kernel/msg741809.html]Re: [PATCH] dt-bindings: pinctrl: stm32: Fix missing 'clocks' property in examples, Alexandre Torgue
* [https://www.spinics.net/lists/arm-kernel/msg741436.html][PATCH 2/3 v3] dt-bindings: gpio: aspeed: Add SGPIO support, Hongwei Zhang
+ [https://www.spinics.net/lists/arm-kernel/msg741448.html]Re: [PATCH 2/3 v3] dt-bindings: gpio: aspeed: Add SGPIO support, Andrew Jeffery
o [https://www.spinics.net/lists/arm-kernel/msg741665.html]RE: [PATCH 2/3 v3] dt-bindings: gpio: aspeed: Add SGPIO support, Hongwei Zhang
* [https://www.spinics.net/lists/arm-kernel/msg741435.html][PATCH] ARM: dts: pxa3xx: Fix polarity on Raumfeld SPI CS, Linus Walleij
+ [https://www.spinics.net/lists/arm-kernel/msg741657.html]Re: [PATCH] ARM: dts: pxa3xx: Fix polarity on Raumfeld SPI CS, Daniel Mack
* [https://www.spinics.net/lists/arm-kernel/msg741434.html][PATCH 2/3 v3] ARM: dts: aspeed: Add SGPIO driver, Hongwei Zhang
+ [https://www.spinics.net/lists/arm-kernel/msg741445.html]Re: [PATCH 2/3 v3] ARM: dts: aspeed: Add SGPIO driver, Andrew Jeffery
* [https://www.spinics.net/lists/arm-kernel/msg741418.html][PATCH] MAINTAINERS: Update my email address to @kernel.org, Marc Zyngier
+ [https://www.spinics.net/lists/arm-kernel/msg741474.html]Re: [PATCH] MAINTAINERS: Update my email address to @kernel.org, Will Deacon
o [https://www.spinics.net/lists/arm-kernel/msg741573.html]Re: [PATCH] MAINTAINERS: Update my email address to @kernel.org, Will Deacon
* [https://www.spinics.net/lists/arm-kernel/msg741416.html][PATCH] dmaengine: bcm2835: Print error in case setting DMA mask fails, Stefan Wahren
* [https://www.spinics.net/lists/arm-kernel/msg741399.html]RE: [PATCH V2 1/2] dt-bindings: firmware: imx-scu: new binding to parse clocks from device tree, Aisheng Dong
* [https://www.spinics.net/lists/arm-kernel/msg741379.html][PATCH v2 00/15] arm64: dts: imx8: architecture improvement and adding imx8qm support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741380.html][PATCH v2 01/15] arm64: dts: imx8qxp: add fallback compatible string for scu pd, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741381.html][PATCH v2 02/15] arm64: dts: imx8qxp: move scu pd node before scu clock node, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741425.html]Re: [PATCH v2 02/15] arm64: dts: imx8qxp: move scu pd node before scu clock node, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741497.html]Re: [PATCH v2 02/15] arm64: dts: imx8qxp: move scu pd node before scu clock node, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741382.html][PATCH v2 04/15] arm64: dts: imx8: add lsio lpcg clocks, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741383.html][PATCH v2 03/15] arm64: dts: imx8qxp: orginize dts in subsystems, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741384.html][PATCH v2 05/15] arm64: dts: imx8: add conn lpcg clocks, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741385.html][PATCH v2 06/15] arm64: dts: imx8: add adma lpcg clocks, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741427.html]Re: [PATCH v2 06/15] arm64: dts: imx8: add adma lpcg clocks, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741499.html]Re: [PATCH v2 06/15] arm64: dts: imx8: add adma lpcg clocks, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741386.html][PATCH v2 07/15] arm64: dts: imx8: switch to two cell scu clock binding, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741428.html]Re: [PATCH v2 07/15] arm64: dts: imx8: switch to two cell scu clock binding, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741500.html]Re: [PATCH v2 07/15] arm64: dts: imx8: switch to two cell scu clock binding, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741387.html][PATCH v2 09/15] arm64: dts: imx8qm: add lsio ss support, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741429.html]Re: [PATCH v2 09/15] arm64: dts: imx8qm: add lsio ss support, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741501.html]Re: [PATCH v2 09/15] arm64: dts: imx8qm: add lsio ss support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741388.html][PATCH v2 08/15] arm64: dts: imx8: switch to new lpcg clock binding, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741389.html][PATCH v2 12/15] arm64: dts: imx8qm: add dma ss support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741390.html][PATCH v2 11/15] arm64: dts: imx8: split adma ss into dma and audio ss, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741391.html][PATCH v2 13/15] arm64: dts: imx: add imx8qm common dts file, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741431.html]Re: [PATCH v2 13/15] arm64: dts: imx: add imx8qm common dts file, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741509.html]Re: [PATCH v2 13/15] arm64: dts: imx: add imx8qm common dts file, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741392.html][PATCH v2 15/15] arm64: defconfig: add imx8qm mek support, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741424.html]Re: [PATCH v2 15/15] arm64: defconfig: add imx8qm mek support, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741484.html]RE: [PATCH v2 15/15] arm64: defconfig: add imx8qm mek support, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741393.html][PATCH v2 14/15] arm64: dts: imx: add imx8qm mek support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741405.html][PATCH v2 10/15] arm64: dts: imx8qm: add conn ss support, Dong Aisheng
o [https://www.spinics.net/lists/arm-kernel/msg741430.html]Re: [PATCH v2 10/15] arm64: dts: imx8qm: add conn ss support, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741508.html]Re: [PATCH v2 10/15] arm64: dts: imx8qm: add conn ss support, Dong Aisheng
* [https://www.spinics.net/lists/arm-kernel/msg741365.html][PATCH v3 00/11] clk: imx8: add new clock binding for better pm support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741366.html][PATCH v3 03/11] clk: imx: scu: add two cells binding support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741367.html][PATCH v3 04/11] clk: imx: scu: bypass cpu power domains, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741368.html][PATCH v3 06/11] clk: imx: scu: add runtime pm support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741369.html][PATCH v3 05/11] clk: imx: scu: allow scu clk to take device pointer, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741370.html][PATCH v3 02/11] dt-bindings: clock: imx-lpcg: add support to parse clocks from device tree, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741371.html][PATCH v3 01/11] dt-bindings: firmware: imx-scu: new binding to parse clocks from device tree, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741372.html][PATCH v3 08/11] clk: imx: imx8qxp-lpcg: add parsing clocks from device tree, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741373.html][PATCH v3 09/11] clk: imx: lpcg: allow lpcg clk to take device pointer, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741374.html][PATCH v3 07/11] clk: imx: scu: add suspend/resume support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741375.html][PATCH v3 11/11] clk: imx: lpcg: add suspend/resume support, Dong Aisheng
+ [https://www.spinics.net/lists/arm-kernel/msg741376.html][PATCH v3 10/11] clk: imx: clk-imx8qxp-lpcg: add runtime pm support, Dong Aisheng
* [https://www.spinics.net/lists/arm-kernel/msg741337.html][PATCH v2] PCI: pci-bridge-emul: fix big-endian support, Grzegorz Jaszczyk
* [https://www.spinics.net/lists/arm-kernel/msg741335.html][PATCH v2] PCI: aardvark: fix big endian support, Grzegorz Jaszczyk
* [https://www.spinics.net/lists/arm-kernel/msg741334.html][PATCH 00/14] pending doc patches for 5.3-rc, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/arm-kernel/msg741336.html][PATCH 01/14] docs: powerpc: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/arm-kernel/msg741326.html][PATCH v4 0/5] Add HDMI jack support on RK3288, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741327.html][PATCH v4 1/5] ASoC: hdmi-codec: Add an op to set callback function for plug event, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741328.html][PATCH v4 2/5] drm: bridge: dw-hdmi: Report connector status using callback, Cheng-Yi Chiang
o [https://www.spinics.net/lists/arm-kernel/msg741345.html]Re: [PATCH v4 2/5] drm: bridge: dw-hdmi: Report connector status using callback, Tzung-Bi Shih
# [https://www.spinics.net/lists/arm-kernel/msg741443.html]Re: [PATCH v4 2/5] drm: bridge: dw-hdmi: Report connector status using callback, Cheng-yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741329.html][PATCH v4 3/5] drm: dw-hdmi-i2s: Use fixed id for codec device, Cheng-Yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741330.html][PATCH v4 4/5] ASoC: rockchip_max98090: Add dai_link for HDMI, Cheng-Yi Chiang
o [https://www.spinics.net/lists/arm-kernel/msg741349.html]Re: [PATCH v4 4/5] ASoC: rockchip_max98090: Add dai_link for HDMI, Tzung-Bi Shih
# [https://www.spinics.net/lists/arm-kernel/msg741482.html]Re: [PATCH v4 4/5] ASoC: rockchip_max98090: Add dai_link for HDMI, Cheng-yi Chiang
+ [https://www.spinics.net/lists/arm-kernel/msg741331.html][PATCH v4 5/5] ASoC: rockchip_max98090: Add HDMI jack support, Cheng-Yi Chiang
o [https://www.spinics.net/lists/arm-kernel/msg741346.html]Re: [PATCH v4 5/5] ASoC: rockchip_max98090: Add HDMI jack support, Tzung-Bi Shih
# [https://www.spinics.net/lists/arm-kernel/msg741483.html]Re: [PATCH v4 5/5] ASoC: rockchip_max98090: Add HDMI jack support, Cheng-yi Chiang
* [https://www.spinics.net/lists/arm-kernel/msg741306.html][PATCH 0/2] arm/arm64: Add support for function error injection, Leo Yan
+ [https://www.spinics.net/lists/arm-kernel/msg741307.html][PATCH 1/2] arm64: Add support for function error injection, Leo Yan
+ [https://www.spinics.net/lists/arm-kernel/msg741308.html][PATCH 2/2] arm: Add support for function error injection, Leo Yan
+ [https://www.spinics.net/lists/arm-kernel/msg741481.html]Re: [PATCH 0/2] arm/arm64: Add support for function error injection, Masami Hiramatsu
o [https://www.spinics.net/lists/arm-kernel/msg741485.html]Re: [PATCH 0/2] arm/arm64: Add support for function error injection, Leo Yan
* [https://www.spinics.net/lists/arm-kernel/msg741269.html][PATCH v5 0/3] dmaengine: ti: edma: Polled completion support, Peter Ujfalusi
+ [https://www.spinics.net/lists/arm-kernel/msg741268.html][PATCH v5 2/3] dmaengine: ti: edma: Correct the residue calculation (fix for memcpy), Peter Ujfalusi
+ [https://www.spinics.net/lists/arm-kernel/msg741270.html][PATCH v5 1/3] dmaengine: ti: edma: Clean up the 2x32bit array register accesses, Peter Ujfalusi
+ [https://www.spinics.net/lists/arm-kernel/msg741271.html][PATCH v5 3/3] dmaengine: ti: edma: Support for polled (memcpy) completion, Peter Ujfalusi
* [https://www.spinics.net/lists/arm-kernel/msg741267.html][PATCH v2 0/2] dmaengine: ti: omap-dma: Improved polling support, Peter Ujfalusi
+ [https://www.spinics.net/lists/arm-kernel/msg741265.html][PATCH v2 1/2] dmaengine: ti: omap-dma: Readability cleanup in omap_dma_tx_status(), Peter Ujfalusi
+ [https://www.spinics.net/lists/arm-kernel/msg741266.html][PATCH v2 2/2] dmaengine: ti: omap-dma: Improved memcpy polling support, Peter Ujfalusi
* [https://www.spinics.net/lists/arm-kernel/msg741255.html]Re: [PATCH v2 0/19] drm: drop use of drmp.h in drm-misc, Sam Ravnborg
+ [https://www.spinics.net/lists/arm-kernel/msg741567.html]Re: [PATCH v2 0/19] drm: drop use of drmp.h in drm-misc, Sam Ravnborg
* [https://www.spinics.net/lists/arm-kernel/msg741254.html][PATCH v2 18/19] drm/rockchip: drop use of drmP.h, Sam Ravnborg
* [https://www.spinics.net/lists/arm-kernel/msg741253.html][PATCH v2 19/19] drm/mediatek: drop use of drmP.h, Sam Ravnborg
+ [https://www.spinics.net/lists/arm-kernel/msg741257.html]Re: [PATCH v2 19/19] drm/mediatek: drop use of drmP.h, CK Hu
+ [https://www.spinics.net/lists/arm-kernel/msg741342.html]Re: [PATCH v2 19/19] drm/mediatek: drop use of drmP.h, Alex Deucher
* [https://www.spinics.net/lists/arm-kernel/msg741252.html][PATCH v2 17/19] drm/imx: drop use of drmP.h, Sam Ravnborg
* [https://www.spinics.net/lists/arm-kernel/msg741251.html][PATCH v2 05/19] drm/sun4i: drop use of drmP.h, Sam Ravnborg
+ [https://www.spinics.net/lists/arm-kernel/msg741273.html]Re: [PATCH v2 05/19] drm/sun4i: drop use of drmP.h, Maxime Ripard
* [https://www.spinics.net/lists/arm-kernel/msg741250.html][PATCH v2 01/19] drm/meson: drop use of drmP.h, Sam Ravnborg
+ [https://www.spinics.net/lists/arm-kernel/msg741352.html]Re: [PATCH v2 01/19] drm/meson: drop use of drmP.h, Alex Deucher
