* [https://www.spinics.net/lists/linux-watchdog/msg16226.html][PATCH] watchdog:alim1535_wdt: Fix data race in ali_settimer() concerning ali_timeout_bits variable. variable., Mark Balantzyan
* [https://www.spinics.net/lists/linux-watchdog/msg16004.html][PATCH] watchdog: meson_wdt: update with SPDX Licence identifier, Neil Armstrong
+ [https://www.spinics.net/lists/linux-watchdog/msg16098.html]Re: [PATCH] watchdog: meson_wdt: update with SPDX Licence identifier, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15961.html][PATCH 00/46] watchdog: move 'registration failed' messages into core, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15946.html][PATCH 02/46] watchdog: let core print error message when registering device fails, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15959.html][PATCH 01/46] watchdog: make watchdog_deferred_registration_add() void, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15960.html][PATCH 03/46] watchdog: aspeed_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15995.html]Re: [PATCH 03/46] watchdog: aspeed_wdt: drop warning after registering device, Andrew Jeffery
+ [https://www.spinics.net/lists/linux-watchdog/msg15947.html][PATCH 07/46] watchdog: cadence_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15948.html][PATCH 04/46] watchdog: bcm2835_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15963.html][PATCH 06/46] watchdog: bcm_kona_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15965.html][PATCH 05/46] watchdog: bcm7038_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15966.html][PATCH 08/46] watchdog: da9052_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16000.html]RE: [PATCH 08/46] watchdog: da9052_wdt: drop warning after registering device, Steve Twiss
+ [https://www.spinics.net/lists/linux-watchdog/msg15967.html][PATCH 09/46] watchdog: da9062_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15999.html]RE: [PATCH 09/46] watchdog: da9062_wdt: drop warning after registering device, Steve Twiss
+ [https://www.spinics.net/lists/linux-watchdog/msg15949.html][PATCH 10/46] watchdog: davinci_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15950.html][PATCH 11/46] watchdog: digicolor_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15994.html]Re: [PATCH 11/46] watchdog: digicolor_wdt: drop warning after registering device, Baruch Siach
# [https://www.spinics.net/lists/linux-watchdog/msg15993.html]Re: [PATCH 11/46] watchdog: digicolor_wdt: drop warning after registering device, Wolfram Sang
@ [https://www.spinics.net/lists/linux-watchdog/msg16048.html]Re: [PATCH 11/46] watchdog: digicolor_wdt: drop warning after registering device, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15969.html][PATCH 12/46] watchdog: ftwdt010_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15971.html][PATCH 13/46] watchdog: hpwdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16010.html]Re: [PATCH 13/46] watchdog: hpwdt: drop warning after registering device, Jerry Hoemann
+ [https://www.spinics.net/lists/linux-watchdog/msg15951.html][PATCH 14/46] watchdog: i6300esb: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15952.html][PATCH 15/46] watchdog: ie6xx_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15953.html][PATCH 16/46] watchdog: imx2_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15954.html][PATCH 17/46] watchdog: imx_sc_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15955.html][PATCH 18/46] watchdog: intel-mid_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15956.html][PATCH 19/46] watchdog: jz4740_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15957.html][PATCH 20/46] watchdog: loongson1_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15958.html][PATCH 21/46] watchdog: max77620_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15962.html][PATCH 22/46] watchdog: mei_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15964.html][PATCH 23/46] watchdog: mena21_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15968.html][PATCH 24/46] watchdog: menf21bmc_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15992.html][PATCH 25/46] watchdog: mpc8xxx_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15970.html][PATCH 26/46] watchdog: ni903x_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15972.html][PATCH 27/46] watchdog: nic7018_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15973.html][PATCH 28/46] watchdog: npcm_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15974.html][PATCH 29/46] watchdog: of_xilinx_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16003.html]Re: [PATCH 29/46] watchdog: of_xilinx_wdt: drop warning after registering device, Michal Simek
+ [https://www.spinics.net/lists/linux-watchdog/msg15975.html][PATCH 30/46] watchdog: pic32-dmt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15976.html][PATCH 31/46] watchdog: pic32-wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15977.html][PATCH 32/46] watchdog: pnx4008_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16026.html]Re: [PATCH 32/46] watchdog: pnx4008_wdt: drop warning after registering device, Sylvain Lemieux
+ [https://www.spinics.net/lists/linux-watchdog/msg15978.html][PATCH 33/46] watchdog: qcom-wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15979.html][PATCH 34/46] watchdog: rave-sp-wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15980.html][PATCH 35/46] watchdog: s3c2410_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15981.html][PATCH 36/46] watchdog: sama5d4_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16024.html]Re: [PATCH 36/46] watchdog: sama5d4_wdt: drop warning after registering device, Alexandre Belloni
+ [https://www.spinics.net/lists/linux-watchdog/msg15991.html][PATCH 37/46] watchdog: sp5100_tco: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15982.html][PATCH 38/46] watchdog: sp805_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15983.html][PATCH 39/46] watchdog: sprd_wdt: drop warning after registering device, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15996.html]Re: [PATCH 39/46] watchdog: sprd_wdt: drop warning after registering device, Baolin Wang
+ [https://www.spinics.net/lists/linux-watchdog/msg15984.html][PATCH 40/46] watchdog: st_lpc_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15985.html][PATCH 41/46] watchdog: stm32_iwdg: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15986.html][PATCH 42/46] watchdog: stmp3xxx_rtc_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15987.html][PATCH 43/46] watchdog: tegra_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15988.html][PATCH 44/46] watchdog: ts4800_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15989.html][PATCH 45/46] watchdog: wm831x_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15990.html][PATCH 46/46] watchdog: xen_wdt: drop warning after registering device, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg16099.html]Re: [PATCH 00/46] watchdog: move 'registration failed' messages into core, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15941.html][PATCH v3 0/4] Allwinner H6 watchdog support, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg15942.html][PATCH v3 3/4] arm64: dts: allwinner: h6: add r_watchog node, Clément Péron
o [https://www.spinics.net/lists/linux-watchdog/msg16009.html]Re: [PATCH v3 3/4] arm64: dts: allwinner: h6: add r_watchog node, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg15943.html][PATCH v3 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Clément Péron
o [https://www.spinics.net/lists/linux-watchdog/msg15997.html]Re: [PATCH v3 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Maxime Ripard
# [https://www.spinics.net/lists/linux-watchdog/msg16001.html]Re: [PATCH v3 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Clément Péron
@ [https://www.spinics.net/lists/linux-watchdog/msg16005.html]Re: [PATCH v3 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Maxime Ripard
- [https://www.spinics.net/lists/linux-watchdog/msg16008.html]Re: [PATCH v3 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg15944.html][PATCH v3 2/4] arm64: dts: allwinner: h6: add watchdog node, Clément Péron
o [https://www.spinics.net/lists/linux-watchdog/msg15998.html]Re: [PATCH v3 2/4] arm64: dts: allwinner: h6: add watchdog node, Maxime Ripard
# [https://www.spinics.net/lists/linux-watchdog/msg16002.html]Re: [PATCH v3 2/4] arm64: dts: allwinner: h6: add watchdog node, Clément Péron
@ [https://www.spinics.net/lists/linux-watchdog/msg16006.html]Re: [PATCH v3 2/4] arm64: dts: allwinner: h6: add watchdog node, Maxime Ripard
- [https://www.spinics.net/lists/linux-watchdog/msg16007.html]Re: [PATCH v3 2/4] arm64: dts: allwinner: h6: add watchdog node, Chen-Yu Tsai
+ [https://www.spinics.net/lists/linux-watchdog/msg15945.html][PATCH v3 4/4] arm64: defconfig: enable sunxi watchdog, Clément Péron
* [https://www.spinics.net/lists/linux-watchdog/msg15934.html][PATCH 0/6] watchdog/hpwdt: cleanups and kdump accommodations, Jerry Hoemann
+ [https://www.spinics.net/lists/linux-watchdog/msg15935.html][PATCH 2/6] watchdog/hpwdt: Advertize max_hw_heartbeat_ms, Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16093.html]Re: [PATCH 2/6] watchdog/hpwdt: Advertize max_hw_heartbeat_ms, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15936.html][PATCH 1/6] watchdog/hpwdt: Stop hpwdt on unregister., Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16092.html]Re: [PATCH 1/6] watchdog/hpwdt: Stop hpwdt on unregister., Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15937.html][PATCH 4/6] watchdog/hpwdt: Add module parameter kdumptimeout., Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16095.html]Re: [PATCH 4/6] watchdog/hpwdt: Add module parameter kdumptimeout., Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15938.html][PATCH 5/6] watchdog/hpwdt: Update documentation, Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16096.html]Re: [PATCH 5/6] watchdog/hpwdt: Update documentation, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15939.html][PATCH 3/6] watchdog/hpwdt: Have core ping watchdog., Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16094.html]Re: [PATCH 3/6] watchdog/hpwdt: Have core ping watchdog., Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15940.html][PATCH 6/6] watchdog/hpwdt: Reflect changes, Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16097.html]Re: [PATCH 6/6] watchdog/hpwdt: Reflect changes, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16088.html]Re: [PATCH 0/6] watchdog/hpwdt: cleanups and kdump accommodations, Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16089.html]Re: [PATCH 0/6] watchdog/hpwdt: cleanups and kdump accommodations, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15932.html][PATCH] watchdog: bcm2835_wdt: Fix module autoload, Stefan Wahren
+ [https://www.spinics.net/lists/linux-watchdog/msg15933.html]Re: [PATCH] watchdog: bcm2835_wdt: Fix module autoload, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15922.html][PATCH RESEND V4 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15923.html][PATCH RESEND V4 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson Huang
o [https://www.spinics.net/lists/linux-watchdog/msg16074.html]RE: [PATCH RESEND V4 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson Huang
# [https://www.spinics.net/lists/linux-watchdog/msg16080.html]Re: [PATCH RESEND V4 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Shawn Guo
@ [https://www.spinics.net/lists/linux-watchdog/msg16081.html]RE: [PATCH RESEND V4 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson Huang
- [https://www.spinics.net/lists/linux-watchdog/msg16082.html]Re: [PATCH RESEND V4 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Shawn Guo
+ [https://www.spinics.net/lists/linux-watchdog/msg15924.html][PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
o [https://www.spinics.net/lists/linux-watchdog/msg15925.html]Re: [PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15926.html]RE: [PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
# [https://www.spinics.net/lists/linux-watchdog/msg16083.html]RE: [PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
@ [https://www.spinics.net/lists/linux-watchdog/msg16108.html]Re: [PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Guenter Roeck
- [https://www.spinics.net/lists/linux-watchdog/msg16116.html]RE: [PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
= [https://www.spinics.net/lists/linux-watchdog/msg16119.html]Re: [PATCH RESEND V4 3/3] watchdog: imx_sc: Add pretimeout support, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15931.html]Re: [PATCH RESEND V4 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Rob Herring
* [https://www.spinics.net/lists/linux-watchdog/msg15916.html][PATCH] watchdog: sama5d4: fix WDD value to be always set to max, Eugen.Hristev
+ [https://www.spinics.net/lists/linux-watchdog/msg15917.html]Re: [PATCH] watchdog: sama5d4: fix WDD value to be always set to max, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15918.html]Re: [PATCH] watchdog: sama5d4: fix WDD value to be always set to max, Eugen.Hristev
* [https://www.spinics.net/lists/linux-watchdog/msg15913.html][PATCH] watchdog: Enforce that at least one pretimeout governor is enabled, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15910.html][PATCH] watchdog: fix watchdog_pretimeout.c build error when no default gov. is set, Randy Dunlap
+ [https://www.spinics.net/lists/linux-watchdog/msg15911.html]Re: [PATCH] watchdog: fix watchdog_pretimeout.c build error when no default gov. is set, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15912.html]Re: [PATCH] watchdog: fix watchdog_pretimeout.c build error when no default gov. is set, Randy Dunlap
* [https://www.spinics.net/lists/linux-watchdog/msg15909.html][PATCH V4 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15907.html][PATCH V4 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15908.html][PATCH V4 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15930.html]Re: [PATCH V4 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Rob Herring
* [https://www.spinics.net/lists/linux-watchdog/msg15903.html][PATCH V3 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15902.html][PATCH V3 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15904.html][PATCH V3 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
o [https://www.spinics.net/lists/linux-watchdog/msg15905.html]Re: [PATCH V3 3/3] watchdog: imx_sc: Add pretimeout support, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15906.html]RE: [PATCH V3 3/3] watchdog: imx_sc: Add pretimeout support, Anson Huang
* [https://www.spinics.net/lists/linux-watchdog/msg15898.html][PATCH V3] watchdog: stm32: add dynamic prescaler support, Ludovic Barre
+ [https://www.spinics.net/lists/linux-watchdog/msg15900.html]Re: [PATCH V3] watchdog: stm32: add dynamic prescaler support, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15885.html][PATCH V2 0/3] watchdog: stm32: add dynamic prescaler support, Ludovic Barre
+ [https://www.spinics.net/lists/linux-watchdog/msg15886.html][PATCH V2 2/3] watchdog: stm32: update return values recommended by watchdog kernel api, Ludovic Barre
o [https://www.spinics.net/lists/linux-watchdog/msg15891.html]Re: [PATCH V2 2/3] watchdog: stm32: update return values recommended by watchdog kernel api, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15887.html][PATCH V2 1/3] watchdog: stm32: update to devm_watchdog_register_device, Ludovic Barre
o [https://www.spinics.net/lists/linux-watchdog/msg15890.html]Re: [PATCH V2 1/3] watchdog: stm32: update to devm_watchdog_register_device, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15897.html]Re: [PATCH V2 1/3] watchdog: stm32: update to devm_watchdog_register_device, Ludovic BARRE
+ [https://www.spinics.net/lists/linux-watchdog/msg15888.html][PATCH V2 3/3] watchdog: stm32: add dynamic prescaler support, Ludovic Barre
o [https://www.spinics.net/lists/linux-watchdog/msg15892.html]Re: [PATCH V2 3/3] watchdog: stm32: add dynamic prescaler support, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15893.html]Re: [PATCH V2 0/3] watchdog: stm32: add dynamic prescaler support, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15876.html][PATCH v14 0/8] support ROHM BD70528 PMIC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15877.html][PATCH v14 1/8] mfd: regulator: clk: split rohm-bd718x7.h, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15878.html][PATCH v14 2/8] mfd: bd70528: Support ROHM bd70528 PMIC - core, Matti Vaittinen
o [https://www.spinics.net/lists/linux-watchdog/msg15914.html]Re: [PATCH v14 2/8] mfd: bd70528: Support ROHM bd70528 PMIC - core, Lee Jones
+ [https://www.spinics.net/lists/linux-watchdog/msg15879.html][PATCH v14 3/8] clk: bd718x7: Support ROHM BD70528 clk block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15880.html][PATCH v14 4/8] dt-bindings: mfd: Document first ROHM BD70528 bindings, Matti Vaittinen
o [https://www.spinics.net/lists/linux-watchdog/msg15915.html]Re: [PATCH v14 4/8] dt-bindings: mfd: Document first ROHM BD70528 bindings, Lee Jones
+ [https://www.spinics.net/lists/linux-watchdog/msg15881.html][PATCH v14 5/8] gpio: Initial support for ROHM bd70528 GPIO block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15882.html][PATCH v14 6/8] rtc: bd70528: Initial support for ROHM bd70528 RTC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15883.html][PATCH v14 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Matti Vaittinen
o [https://www.spinics.net/lists/linux-watchdog/msg15889.html]Re: [PATCH v14 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Sebastian Reichel
# [https://www.spinics.net/lists/linux-watchdog/msg15894.html]Re: [PATCH v14 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Vaittinen, Matti
+ [https://www.spinics.net/lists/linux-watchdog/msg15884.html][PATCH v14 8/8] watchdog: bd70528: Initial support for ROHM BD70528 watchdog block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg16011.html]Re: [PATCH v14 0/8] support ROHM BD70528 PMIC, Vaittinen, Matti
o [https://www.spinics.net/lists/linux-watchdog/msg16012.html]Re: [PATCH v14 0/8] support ROHM BD70528 PMIC, Alexandre Belloni
# [https://www.spinics.net/lists/linux-watchdog/msg16013.html]Re: [PATCH v14 0/8] support ROHM BD70528 PMIC, Vaittinen, Matti
* [https://www.spinics.net/lists/linux-watchdog/msg15865.html][PATCH 1/5] watchdog: Use depends instead of select for pretimeout governors, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15866.html][PATCH 2/5] watchdog: Move pretimeout governor configuration up, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15867.html][PATCH 4/5] watchdog: npcm: Enable modular builds, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15868.html][PATCH 5/5] watchdog: Improve Kconfig entry ordering and dependencies, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15869.html][PATCH 3/5] watchdog: Make watchdog core configurable as module, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15849.html][PATCH V2 1/4] dt-bindings: fsl: scu: add watchdog binding, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15850.html][PATCH V2 2/4] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15851.html][PATCH V2 3/4] watchdog: imx_sc: Add pretimeout support, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15852.html][PATCH V2 4/4] dt-bindings: watchdog: remove i.MX system controller watchdog, Anson Huang
o [https://www.spinics.net/lists/linux-watchdog/msg15873.html]Re: [PATCH V2 4/4] dt-bindings: watchdog: remove i.MX system controller watchdog, Rob Herring
+ [https://www.spinics.net/lists/linux-watchdog/msg15872.html]Re: [PATCH V2 1/4] dt-bindings: fsl: scu: add watchdog binding, Rob Herring
* [https://www.spinics.net/lists/linux-watchdog/msg15844.html][PATCH] watchdog: stm32: add dynamic prescaler support, Ludovic Barre
+ [https://www.spinics.net/lists/linux-watchdog/msg15845.html]Re: [PATCH] watchdog: stm32: add dynamic prescaler support, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15857.html]Re: [PATCH] watchdog: stm32: add dynamic prescaler support, Ludovic BARRE
# [https://www.spinics.net/lists/linux-watchdog/msg15858.html]Re: [PATCH] watchdog: stm32: add dynamic prescaler support, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15831.html][PATCH RESEND v13 0/8] support ROHM BD70528 PMIC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15832.html][PATCH RESEND v13 1/8] mfd: regulator: clk: split rohm-bd718x7.h, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15833.html][PATCH RESEND v13 2/8] mfd: bd70528: Support ROHM bd70528 PMIC - core, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15834.html][PATCH RESEND v13 3/8] clk: bd718x7: Support ROHM BD70528 clk block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15835.html][PATCH RESEND v13 4/8] dt-bindings: mfd: Document first ROHM BD70528 bindings, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15836.html][PATCH RESEND v13 5/8] gpio: Initial support for ROHM bd70528 GPIO block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15837.html][PATCH RESEND v13 6/8] rtc: bd70528: Initial support for ROHM bd70528 RTC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15838.html][PATCH RESEND v13 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Matti Vaittinen
o [https://www.spinics.net/lists/linux-watchdog/msg15874.html]Re: [PATCH RESEND v13 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Sebastian Reichel
# [https://www.spinics.net/lists/linux-watchdog/msg15875.html]Re: [PATCH RESEND v13 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15839.html][PATCH RESEND v13 8/8] watchdog: bd70528: Initial support for ROHM BD70528 watchdog block, Matti Vaittinen
* [https://www.spinics.net/lists/linux-watchdog/msg15825.html][PATCH 1/2] firmware: imx: SCU irq should ONLY be enabled after SCU IPC is ready, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15826.html][PATCH 2/2] watchdog: imx_sc: Add pretimeout support, Anson Huang
o [https://www.spinics.net/lists/linux-watchdog/msg15828.html]Re: [PATCH 2/2] watchdog: imx_sc: Add pretimeout support, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15829.html]RE: [PATCH 2/2] watchdog: imx_sc: Add pretimeout support, Anson Huang
@ [https://www.spinics.net/lists/linux-watchdog/msg15847.html]Re: [PATCH 2/2] watchdog: imx_sc: Add pretimeout support, Guenter Roeck
- [https://www.spinics.net/lists/linux-watchdog/msg15853.html]RE: [PATCH 2/2] watchdog: imx_sc: Add pretimeout support, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15827.html]Re: [PATCH 1/2] firmware: imx: SCU irq should ONLY be enabled after SCU IPC is ready, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15830.html]RE: [PATCH 1/2] firmware: imx: SCU irq should ONLY be enabled after SCU IPC is ready, Anson Huang
# [https://www.spinics.net/lists/linux-watchdog/msg15846.html]Re: [PATCH 1/2] firmware: imx: SCU irq should ONLY be enabled after SCU IPC is ready, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15815.html][PATCH 0/5] wdt: clean up unused modular infrastructure, Paul Gortmaker
+ [https://www.spinics.net/lists/linux-watchdog/msg15810.html][PATCH 4/5] watchdog: intel_scu: make it explicitly non-modular, Paul Gortmaker
o [https://www.spinics.net/lists/linux-watchdog/msg15861.html]Re: [PATCH 4/5] watchdog: intel_scu: make it explicitly non-modular, Guenter Roeck
