* [https://www.spinics.net/lists/linux-pm/msg28520.html][PATCH] tracing: Remove unused clock events, Steven Rostedt
o [https://www.spinics.net/lists/linux-pm/msg28134.html]Re: [PATCH RESEND 3/4] thermal: cleanup: use dev_* helper functions, R, Durgadoss
o [https://www.spinics.net/lists/linux-pm/msg28149.html]Re: [PATCH RESEND 3/4] thermal: cleanup: use dev_* helper functions, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28131.html][PATCH RESEND 4/4] thermal: check for invalid trip setup when registering thermal device, Eduardo Valentin
o [https://www.spinics.net/lists/linux-pm/msg28135.html]Re: [PATCH RESEND 4/4] thermal: check for invalid trip setup when registering thermal device, R, Durgadoss
o [https://www.spinics.net/lists/linux-pm/msg28150.html]Re: [PATCH RESEND 4/4] thermal: check for invalid trip setup when registering thermal device, Zhang Rui
# [https://www.spinics.net/lists/linux-pm/msg28151.html]Re: [PATCH RESEND 4/4] thermal: check for invalid trip setup when registering thermal device, Eduardo Valentin
@ [https://www.spinics.net/lists/linux-pm/msg28152.html]Re: [PATCH RESEND 4/4] thermal: check for invalid trip setup when registering thermal device, Zhang Rui
* [https://www.spinics.net/lists/linux-pm/msg28122.html][PATCH V2 0/3] thermal: Add support for interrupt based notification to thermal layer, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28123.html][PATCH V2 1/3] Thermal: exynos: Add support for temperature falling interrupt., Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28124.html][PATCH V2 2/3] thermal: exynos: Miscellaneous fixes to support falling threshold interrupt, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28165.html][PATCH 2/5 RESEND] thermal: exynos: Miscellaneous fixes to support falling threshold interrupt, Amit Daniel Kachhap
# [https://www.spinics.net/lists/linux-pm/msg28139.html]Re: [PATCH 2/5 RESEND] thermal: exynos: Miscellaneous fixes to support falling threshold interrupt, Joe Perches
@ [https://www.spinics.net/lists/linux-pm/msg28144.html]Re: [PATCH 2/5 RESEND] thermal: exynos: Miscellaneous fixes to support falling threshold interrupt, amit kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28125.html][PATCH V2 3/3] thermal: exynos: Use the new thermal trend type for quick cooling action., Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28140.html]Re: [PATCH V2 0/3] thermal: Add support for interrupt based notification to thermal layer, amit daniel kachhap
o [https://www.spinics.net/lists/linux-pm/msg28153.html]Re: [PATCH V2 0/3] thermal: Add support for interrupt based notification to thermal layer, amit daniel kachhap
# [https://www.spinics.net/lists/linux-pm/msg28160.html]Re: [PATCH V2 0/3] thermal: Add support for interrupt based notification to thermal layer, Kukjin Kim
* [https://www.spinics.net/lists/linux-pm/msg28119.html][RFC][PATCH] printk: add boot_quiet param to support deferred printk while booting, Barry Song
+ [https://www.spinics.net/lists/linux-pm/msg28126.html]Re: [RFC][PATCH] printk: add boot_quiet param to support deferred printk while booting, Baruch Siach
o [https://www.spinics.net/lists/linux-pm/msg28118.html]Re: [RFC][PATCH] printk: add boot_quiet param to support deferred printk while booting, Barry Song
* [https://www.spinics.net/lists/linux-pm/msg28108.html][RFC PATCH v7] ARM hibernation / suspend-to-disk, Russ Dill
* [https://www.spinics.net/lists/linux-pm/msg28106.html][PATCH 1/1] thermal: cpu cooling: allow module builds, Eduardo Valentin
+ [https://www.spinics.net/lists/linux-pm/msg28107.html]Re: [PATCH 1/1] thermal: cpu cooling: allow module builds, R, Durgadoss
+ [https://www.spinics.net/lists/linux-pm/msg28110.html]Re: [PATCH 1/1] thermal: cpu cooling: allow module builds, Zhang, Rui
* [https://www.spinics.net/lists/linux-pm/msg28105.html][PATCH 1/1] thermal: cpu cooling: use const parameter while registering, Eduardo Valentin
+ [https://www.spinics.net/lists/linux-pm/msg28109.html]Re: [PATCH 1/1] thermal: cpu cooling: use const parameter while registering, Zhang Rui
* [https://www.spinics.net/lists/linux-pm/msg28097.html][PATCH 4/4] thermal: exynos: Use the new thermal trend type for quick cooling action., Amit Daniel Kachhap
* [https://www.spinics.net/lists/linux-pm/msg28090.html][PATCH 0/4] thermal: Add support for interrupt based notification to thermal layer, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28091.html][PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28094.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
# [https://www.spinics.net/lists/linux-pm/msg28095.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Amit Kachhap
@ [https://www.spinics.net/lists/linux-pm/msg28096.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
- [https://www.spinics.net/lists/linux-pm/msg28099.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, R, Durgadoss
- [https://www.spinics.net/lists/linux-pm/msg28100.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Amit Kachhap
= [https://www.spinics.net/lists/linux-pm/msg28101.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
= [https://www.spinics.net/lists/linux-pm/msg28102.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, R, Durgadoss
* [https://www.spinics.net/lists/linux-pm/msg28103.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28104.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, R, Durgadoss
@ [https://www.spinics.net/lists/linux-pm/msg28098.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, R, Durgadoss
o [https://www.spinics.net/lists/linux-pm/msg28112.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
# [https://www.spinics.net/lists/linux-pm/msg28113.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Amit Kachhap
@ [https://www.spinics.net/lists/linux-pm/msg28114.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
- [https://www.spinics.net/lists/linux-pm/msg28120.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Amit Kachhap
= [https://www.spinics.net/lists/linux-pm/msg28121.html]Re: [PATCH 1/4] thermal: Add new thermal trend type to support quick cooling, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28092.html][PATCH 2/4] Thermal: exynos: Add support for temperature falling interrupt., Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28093.html][PATCH 3/4] thermal: exynos: Miscellaneous fixes to support falling threshold interrupt, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28111.html]Re: [PATCH 0/4] thermal: Add support for interrupt based notification to thermal layer, Zhang, Rui
* [https://www.spinics.net/lists/linux-pm/msg28086.html][PATCH] rtpm-core: enable counters for PM state transitions, Sundar Iyer
* [https://www.spinics.net/lists/linux-pm/msg28066.html][PATCH v2] drivers-core: move the calling to device_pm_remove behind the calling to bus_remove_device, zhanglong
+ [https://www.spinics.net/lists/linux-pm/msg28068.html]Re: [PATCH v2] drivers-core: move the calling to device_pm_remove behind the calling to bus_remove_device, Yanmin Zhang
+ [https://www.spinics.net/lists/linux-pm/msg28069.html]Re: [PATCH v2] drivers-core: move the calling to device_pm_remove behind the calling to bus_remove_device, Rafael J. Wysocki
o [https://www.spinics.net/lists/linux-pm/msg28070.html]Re: [PATCH v2] drivers-core: move the calling to device_pm_remove behind the calling to bus_remove_device, Greg Kroah-Hartman
# [https://www.spinics.net/lists/linux-pm/msg28071.html]Re: [PATCH v2] drivers-core: move the calling to device_pm_remove behind the calling to bus_remove_device, Rafael J. Wysocki
@ [https://www.spinics.net/lists/linux-pm/msg28087.html]Re: [PATCH v2] drivers-core: move the calling to device_pm_remove behind the calling to bus_remove_device, Yanmin Zhang
* [https://www.spinics.net/lists/linux-pm/msg28053.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, jonghwa3 . lee
* [https://www.spinics.net/lists/linux-pm/msg28052.html]Subject: [PATCH] drivers-core: move device_pm_remove behind bus_remove_device, Zhang, LongX
+ [https://www.spinics.net/lists/linux-pm/msg28065.html]Re: Subject: [PATCH] drivers-core: move device_pm_remove behind bus_remove_device, Yanmin Zhang
o [https://www.spinics.net/lists/linux-pm/msg28064.html]Re: Subject: [PATCH] drivers-core: move device_pm_remove behind bus_remove_device, Rafael J. Wysocki
# [https://www.spinics.net/lists/linux-pm/msg28067.html]Re: Subject: [PATCH] drivers-core: move device_pm_remove behind bus_remove_device, Yanmin Zhang
* [https://www.spinics.net/lists/linux-pm/msg28043.html][RFC PATCH 6/6] Introduce INT33B1 I2C controller driver, Zhang Rui
* [https://www.spinics.net/lists/linux-pm/msg28042.html][RFC PATCH 5/6] ACPI: Introduce ACPI I2C controller enumeration driver, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28044.html]Re: [RFC PATCH 5/6] ACPI: Introduce ACPI I2C controller enumeration driver, Alan Cox
o [https://www.spinics.net/lists/linux-pm/msg28046.html]Re: [RFC PATCH 5/6] ACPI: Introduce ACPI I2C controller enumeration driver, Zhang, Rui
+ [https://www.spinics.net/lists/linux-pm/msg28058.html]Re: [RFC PATCH 5/6] ACPI: Introduce ACPI I2C controller enumeration driver, Mika Westerberg
o [https://www.spinics.net/lists/linux-pm/msg28049.html]Re: [RFC PATCH 5/6] ACPI: Introduce ACPI I2C controller enumeration driver, Zhang, Rui
# [https://www.spinics.net/lists/linux-pm/msg28060.html]Re: [RFC PATCH 5/6] ACPI: Introduce ACPI I2C controller enumeration driver, Mika Westerberg
* [https://www.spinics.net/lists/linux-pm/msg28041.html][RFC PATCH 4/6] Change i2c_register_board_info from __init to __devinit, Zhang Rui
* [https://www.spinics.net/lists/linux-pm/msg28040.html][RFC PATCH 3/6] ACPI: introduce acpi_get_generic_resources, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28062.html]Re: [RFC PATCH 3/6] ACPI: introduce acpi_get_generic_resources, Bjorn Helgaas
* [https://www.spinics.net/lists/linux-pm/msg28039.html][RFC PATCH 2/6] Introduce ACPI style match in platform_match, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28057.html]Re: [RFC PATCH 2/6] Introduce ACPI style match in platform_match, Mika Westerberg
o [https://www.spinics.net/lists/linux-pm/msg28048.html]Re: [RFC PATCH 2/6] Introduce ACPI style match in platform_match, Zhang, Rui
* [https://www.spinics.net/lists/linux-pm/msg28038.html][RFC PATCH 1/6] Introduce acpi_match_device_id()., Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28054.html]Re: [RFC PATCH 1/6] Introduce acpi_match_device_id()., Mika Westerberg
o [https://www.spinics.net/lists/linux-pm/msg28045.html]Re: [RFC PATCH 1/6] Introduce acpi_match_device_id()., Zhang, Rui
# [https://www.spinics.net/lists/linux-pm/msg28055.html]Re: [RFC PATCH 1/6] Introduce acpi_match_device_id()., Mika Westerberg
@ [https://www.spinics.net/lists/linux-pm/msg28047.html]Re: [RFC PATCH 1/6] Introduce acpi_match_device_id()., Zhang, Rui
- [https://www.spinics.net/lists/linux-pm/msg28059.html]Re: [RFC PATCH 1/6] Introduce acpi_match_device_id()., Mika Westerberg
* [https://www.spinics.net/lists/linux-pm/msg28037.html][RFC PATCH 0/6] ACPI: ACPI 5.0 device enumeration proposal, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28056.html]Re: [RFC PATCH 0/6] ACPI: ACPI 5.0 device enumeration proposal, Mika Westerberg
o [https://www.spinics.net/lists/linux-pm/msg28050.html]Re: [RFC PATCH 0/6] ACPI: ACPI 5.0 device enumeration proposal, Zhang, Rui
# [https://www.spinics.net/lists/linux-pm/msg28061.html]Re: [RFC PATCH 0/6] ACPI: ACPI 5.0 device enumeration proposal, Mika Westerberg
* [https://www.spinics.net/lists/linux-pm/msg28035.html][PATCH] PM / Runtime: let rpm_resume() succeed if RPM_ACTIVE, even when disabled, Kevin Hilman
+ [https://www.spinics.net/lists/linux-pm/msg28036.html]Re: [PATCH] PM / Runtime: let rpm_resume() succeed if RPM_ACTIVE, even when disabled, Rafael J. Wysocki
* [https://www.spinics.net/lists/linux-pm/msg28033.html][PATCH] PM QoS: Use spinlock in the per-device PM QoS constraints code, Jean Pihet
+ [https://www.spinics.net/lists/linux-pm/msg28034.html]Re: [PATCH] PM QoS: Use spinlock in the per-device PM QoS constraints code, Rafael J. Wysocki
* [https://www.spinics.net/lists/linux-pm/msg28027.html][PATCH RESEND] thermal: add generic cpufreq cooling implementation, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28028.html]Re: [PATCH RESEND] thermal: add generic cpufreq cooling implementation, Valentin, Eduardo
o [https://www.spinics.net/lists/linux-pm/msg28029.html]Re: [PATCH RESEND] thermal: add generic cpufreq cooling implementation, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28030.html]Re: [PATCH RESEND] thermal: add generic cpufreq cooling implementation, Rafael J. Wysocki
o [https://www.spinics.net/lists/linux-pm/msg28031.html]Re: [PATCH RESEND] thermal: add generic cpufreq cooling implementation, Rafael J. Wysocki
+ [https://www.spinics.net/lists/linux-pm/msg28032.html]Re: [PATCH RESEND] thermal: add generic cpufreq cooling implementation, amit kachhap
* [https://www.spinics.net/lists/linux-pm/msg28023.html][PATCH] cpuidle: Prevent null pointer dereference in cpuidle_coupled_cpu_notify, Jon Medhurst (Tixy)
+ [https://www.spinics.net/lists/linux-pm/msg27965.html]Re: [PATCH] cpuidle: Prevent null pointer dereference in cpuidle_coupled_cpu_notify, Rafael J. Wysocki
* [https://www.spinics.net/lists/linux-pm/msg28007.html][PATCH v4 4/4] ARM: DT: Add support to system control module for OMAP4, Konstantin Baydarov
* [https://www.spinics.net/lists/linux-pm/msg28006.html][PATCH v4 3/4] OMAP2+: use control module mfd driver in omap_type, Konstantin Baydarov
+ [https://www.spinics.net/lists/linux-pm/msg28009.html]Re: [PATCH v4 3/4] OMAP2+: use control module mfd driver in omap_type, Sergei Shtylyov
o [https://www.spinics.net/lists/linux-pm/msg28010.html]Re: [PATCH v4 3/4] OMAP2+: use control module mfd driver in omap_type, Konstantin Baydarov
* [https://www.spinics.net/lists/linux-pm/msg28005.html][PATCH v4 1/4] ARM: OMAP4: Remove un-used control module headers and defines., Konstantin Baydarov
+ [https://www.spinics.net/lists/linux-pm/msg27930.html]Re: [PATCH v4 1/4] ARM: OMAP4: Remove un-used control module headers and defines., Felipe Balbi
o [https://www.spinics.net/lists/linux-pm/msg28008.html]Re: [PATCH v4 1/4] ARM: OMAP4: Remove un-used control module headers and defines., Konstantin Baydarov
# [https://www.spinics.net/lists/linux-pm/msg27933.html]Re: [PATCH v4 1/4] ARM: OMAP4: Remove un-used control module headers and defines., Felipe Balbi
* [https://www.spinics.net/lists/linux-pm/msg28004.html][PATCH v4 2/4] mfd: omap: control: core system control driver, Konstantin Baydarov
+ [https://www.spinics.net/lists/linux-pm/msg27931.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Felipe Balbi
+ [https://www.spinics.net/lists/linux-pm/msg27959.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Tony Lindgren
o [https://www.spinics.net/lists/linux-pm/msg27960.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Tony Lindgren
# [https://www.spinics.net/lists/linux-pm/msg27961.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Tony Lindgren
@ [https://www.spinics.net/lists/linux-pm/msg28018.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Konstantin Baydarov
- [https://www.spinics.net/lists/linux-pm/msg27962.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Tony Lindgren
- [https://www.spinics.net/lists/linux-pm/msg28019.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Konstantin Baydarov
= [https://www.spinics.net/lists/linux-pm/msg27964.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, Tony Lindgren
+ [https://www.spinics.net/lists/linux-pm/msg28026.html]Re: [PATCH v4 2/4] mfd: omap: control: core system control driver, AnilKumar, Chimata
* [https://www.spinics.net/lists/linux-pm/msg28003.html][PATCH v4 0/4] OMAP System Control Module, Konstantin Baydarov
* [https://www.spinics.net/lists/linux-pm/msg28002.html][RESEND PATCH] [CPUFREQ] conservative: Initialise the cpu field during governor start, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27954.html]Re: [RESEND PATCH] [CPUFREQ] conservative: Initialise the cpu field during governor start, Rafael J. Wysocki
* [https://www.spinics.net/lists/linux-pm/msg27966.html][PATCH v6 0/6] thermal: Add kernel thermal support for exynos platform, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27967.html][PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg27973.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Valentin, Eduardo
# [https://www.spinics.net/lists/linux-pm/msg27974.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Amit Kachhap
o [https://www.spinics.net/lists/linux-pm/msg27975.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Zhang Rui
# [https://www.spinics.net/lists/linux-pm/msg27976.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Amit Kachhap
@ [https://www.spinics.net/lists/linux-pm/msg27978.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Valentin, Eduardo
- [https://www.spinics.net/lists/linux-pm/msg27981.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Zhang Rui
= [https://www.spinics.net/lists/linux-pm/msg27982.html]Re: [PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Valentin, Eduardo
@ [https://www.spinics.net/lists/linux-pm/msg27979.html][RESEND PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Amit Daniel Kachhap
- [https://www.spinics.net/lists/linux-pm/msg27980.html]Re: [RESEND PATCH v6 1/6] thermal: add generic cpufreq cooling implementation, Amit Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27968.html][PATCH v6 2/6] hwmon: exynos4: move thermal sensor driver to driver/thermal directory, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27969.html][PATCH v6 3/6] thermal: exynos5: add exynos5250 thermal sensor driver support, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27970.html][PATCH v6 4/6] thermal: exynos: register the tmu sensor with the kernel thermal layer, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27971.html][PATCH v6 5/6] ARM: exynos: add thermal sensor driver platform data support, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28024.html]Re: [PATCH v6 5/6] ARM: exynos: add thermal sensor driver platform data support, Thomas Abraham
+ [https://www.spinics.net/lists/linux-pm/msg27972.html][PATCH v6 6/6] thermal: exynos: Use devm_* functions, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27938.html][PATCH 1/4] Revert "x86 idle APM: deprecate CONFIG_APM_CPU_IDLE" to prepare for actual removal, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27939.html][PATCH 2/4] x86 idle APM: delete apm_cpu_idle(), Len Brown
# [https://www.spinics.net/lists/linux-pm/msg27942.html]Re: [PATCH 2/4] x86 idle APM: delete apm_cpu_idle(), Alan Cox
@ [https://www.spinics.net/lists/linux-pm/msg27943.html]Re: [PATCH 2/4] x86 idle APM: delete apm_cpu_idle(), Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27940.html][PATCH 3/4] x86, idle: make default_idle() static, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27941.html][PATCH 4/4] PM: cleanup: stop mandating that platforms export (pm_idle)(), Len Brown
# [https://www.spinics.net/lists/linux-pm/msg28016.html]Re: [PATCH 4/4] PM: cleanup: stop mandating that platforms export (pm_idle)(), Kevin Hilman
+ [https://www.spinics.net/lists/linux-pm/msg27876.html][PATCH 01/52] ACPICA: AML Parser: Fix two possible memory leaks in error path, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27877.html][PATCH 02/52] ACPICA: Object dump routines: Use common function for string output, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27878.html][PATCH 03/52] ACPICA: Lint fixes for acpi_write, no functional changes, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27879.html][PATCH 04/52] ACPICA: Add support for multiple notify handlers, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27880.html][PATCH 05/52] ACPICA: Update to version 20120420, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27881.html][PATCH 06/52] ACPICA: Disassembler: Add support for Operation Region externals, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27882.html][PATCH 07/52] ACPICA: ACPI 5/iASL: Add support for PCC keyword, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27883.html][PATCH 08/52] ACPICA: iASL: Improved pathname support, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27884.html][PATCH 09/52] ACPICA: Remove argument of acpi_os_wait_events_complete, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27885.html][PATCH 10/52] ACPICA: Add FADT error message for GAS BitWidth overflow, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27886.html][PATCH 11/52] ACPICA: Update to version 20120518, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27887.html][PATCH 12/52] cpuidle: remove unused hrtimer_peek_ahead_timers() call, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27888.html][PATCH 13/52] cpuidle: add checks to avoid NULL pointer dereference, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27889.html][PATCH 14/52] ACPI Battery: Added capacity, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27890.html][PATCH 15/52] cpuidle: refactor out cpuidle_enter_state, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27891.html][PATCH 16/52] cpuidle: fix error handling in __cpuidle_register_device, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27892.html][PATCH 17/52] cpuidle: add support for states that affect multiple cpus, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27893.html][PATCH 18/52] cpuidle: coupled: add parallel barrier function, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27894.html][PATCH 19/52] drivers/thermal/spear_thermal.c: add Device Tree probing capability, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27895.html][PATCH 20/52] ACPI: Add an interface to evaluate _OST, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27896.html][PATCH 21/52] ACPI: Add _OST support for sysfs eject, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27897.html][PATCH 22/52] ACPI: Add _OST support for ACPI CPU hotplug, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27898.html][PATCH 23/52] ACPI: Add _OST support for ACPI memory hotplug, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27899.html][PATCH 24/52] ACPI: Add _OST support for ACPI container hotplug, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27900.html][PATCH 25/52] ACPI: Set hotplug _OST support bit to _OSC, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27901.html][PATCH 26/52] ACPI, PM, Specify lowest allowed state for device sleep state, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27902.html][PATCH 27/52] intel_idle: initial IVB support, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27903.html][PATCH 28/52] ACPI: remove acpi_pad MAINTAINERS entry, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27904.html][PATCH 29/52] ACPI: acpi_pad: rename "power_saving" thread to "acpi_pad" thread, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27905.html][PATCH 30/52] ACPI, APEI: Fixup common access width firmware bug, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27906.html][PATCH 31/52] ACPICA: Disassembler: Emit descriptions for ACPI predefined names, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27907.html][PATCH 32/52] ACPICA: Utilities: conditionally compile backslash removal function, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27908.html][PATCH 33/52] ACPICA: Update comments; no functional change, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27909.html][PATCH 34/52] ACPICA: Add support for implicit notify on multiple devices, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27910.html][PATCH 35/52] ACPICA: Update to version 20120620, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27911.html][PATCH 36/52] ACPI: acpi_pad: tune round_robin_time, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27912.html][PATCH 37/52] ACPICA: Split exception code utilities to a new file, utexcep.c, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27913.html][PATCH 38/52] ACPICA: Add new interfaces for BIOS(firmware) errors and warnings, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27914.html][PATCH 39/52] ACPICA: Table manager: deploy new firmware error/warning interfaces, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27915.html][PATCH 40/52] ACPICA: Fix some comment fields, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27916.html][PATCH 41/52] ACPICA: Add PCC address space to space ID decode function, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27917.html][PATCH 42/52] ACPICA: Split file: tbxface.c -> tbxfload.c, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27918.html][PATCH 43/52] ACPICA: Add new ACPI table load/unload external interfaces, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27919.html][PATCH 44/52] ACPICA: Update header files copyrights to 2012, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27920.html][PATCH 46/52] ACPICA: Update to version 20120711, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27921.html][PATCH 48/52] tools/power: turbostat: fix large c1% issue, Len Brown
# [https://www.spinics.net/lists/linux-pm/msg27935.html]Re: [PATCH 48/52] tools/power: turbostat: fix large c1% issue, Konrad Rzeszutek Wilk
o [https://www.spinics.net/lists/linux-pm/msg27922.html][PATCH 47/52] tools/power: turbostat v2 - re-write for efficiency, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27923.html][PATCH 49/52] ACPI/AC: prevent OOPS on some boxes due to missing check power_supply_register() return value check, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27924.html][PATCH 45/52] ACPICA: AcpiSrc: Fix some translation issues for Linux conversion, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27925.html][PATCH 50/52] Thermal: Make Thermal trip points writeable, Len Brown
# [https://www.spinics.net/lists/linux-pm/msg27929.html]Re: [PATCH 50/52] Thermal: Make Thermal trip points writeable, Rafael J. Wysocki
@ [https://www.spinics.net/lists/linux-pm/msg27932.html]Re: [PATCH 50/52] Thermal: Make Thermal trip points writeable, R, Durgadoss
o [https://www.spinics.net/lists/linux-pm/msg27926.html][PATCH 51/52] Thermal: Add Hysteresis attributes, Len Brown
o [https://www.spinics.net/lists/linux-pm/msg27927.html][PATCH 52/52] Thermal: Documentation update, Len Brown
* [https://www.spinics.net/lists/linux-pm/msg27866.html][PATCH v5 0/5] thermal: Add kernel thermal support for exynos platform, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27867.html][PATCH v5 1/5] thermal: add generic cpufreq cooling implementation, Amit Daniel Kachhap
